,post_caption
5470,"It takes lots of resources to get our food from farm to table, especially if they are meats. Don't make your purchase a misteak by neglecting food that's sitting in the fridge! 
Graphic courtesy of students from @anonymised_user School of Business. 
#punsfordays #pungame #foodhumour #finishyourfood #reducefoodwaste #reducefoodwastage #beecowithme"
5472,"3 tips you need to know when dining out this weekend with your friends!

Graphic courtesy of students from @anonymised_user School of Business. 
#finishyourfood #reducefoodwaste #reducefoodwastage #beecowithme"
5473,"Have leftover veggies? Make veggie broth! Here's a 2-step guide:

1. Clean properly, and if you wish, dry them in the sun.
2. Extract the essence by boiling them for a while, then straining with a sieve. 
What about the rest? 
1. Dry the clean scraps under the sun for about 2 days, then panfry on low heat.
2. Grind scraps with food a processor or grinder.
Voila! You get natural veggie powder for soup!

Thanks @anonymised_user for this recipe and letting us share with our followers! Check out her page for more recipes!

#recycle #recipes #reducefoodwaste #zerofoodwaste #beecowithme"
5482,"Wanna win a #Herschel heritage backpack? You're just one mega bite away.

Simply post a video/boomerang/photo of yourself biting into your last morsel of food, tag #OneMegaBite, and follow @anonymised_user to qualify. We're picking 2 winners tomorrow, so hurry and nom away!  #nofoodwaste #reducefoodwaste #sggiveaway"
5760,"Come visit our booth at Centro Mall next Friday (4 Oct) to know more about eco-friendly single use products! There'll also be selected zero waste items for sale, courtesy of our friends from @anonymised_user bulk store. 

Stay tuned to our stories for updates!

#cmeco #malaysia #plasticfree #noplastic #ecofriendly #gogreen #biodegradable #compostable #selangor #betterthanplastic #saynotoplastic #reducewaste #minimumwastejourney #sustainability #convenience #earthdayeveryday #freetheocean #worldwithoutplastic #bebasplastik #nonplastic #chilllahfoodstreet #centromall #klang #centromallklang"
6237,"Baby spinach from Italy, mushrooms from Holland, tomatoes from Japan, brocolini from Australia, EVOO from Spain, chips from UK and Australia. 
These are not supermarket standard beauties, just a little ripe and close to shelf expiry and, almost ready to be thrown. 
It's only ugly as that's how we have been conditioned to think. It tastes the same and is still nutritious.

Why not save some money and rescue them by buying from @anonymised_user ? They update the list of items every week and as and when they're available so keep a lookout on their app.

#uglyfood #treatsure #foodisfood #reducefoodwaste #zerofoodwaste #notaffiliated #notsponsored"
6243,"Eco Enzymes Parent-Child workshop on 29th Sep 2019.

A collaboration between The Green Mama and @anonymised_user .

#ecoenzymesworkshop #garbageenzymesworkshop #saveourearthworkshop #parentchildbonding #parentchildworkshop #reducefoodwaste #recyclefoodwaste #upcyclefruitpeels #workshopsg #ecoenzymesg #garbageenzymesg #zerofoodwastesg #zerofoodwaste #zerowasteworkshop #zerofoodwasteworkshop"
6244,"Eco Enzymes Parent-Child workshop during the September school holidays with Angeline and Adele.

A collaboration between The Green Mama and @anonymised_user .

#ecoenzymesworkshop #garbageenzymesworkshop #saveourearthworkshop #parentchildbonding #parentchildworkshop #reducefoodwaste #recyclefoodwaste #upcyclefruitpeels #workshopsg #ecoenzymesg #garbageenzymesg #zerofoodwastesg #zerofoodwaste #zerowasteworkshop #zerofoodwasteworkshop"
6352,Breakfast perfection  by @anonymised_user with ingredients from @anonymised_user #HealthyFood #zerowastesg
7202,"I've been wanting to go to a bulk store but the ones that I know of is so far away from my place. So happy I got to go to @anonymised_user last weekend. They have a wide array of food products  I'll definitely come back  -

#bulkfoods #noplasticpackaging #zerowaste #nodisposables #eliminatesingleuse"
7324,"Meet and feel TOMELO donkey milk soaps at @anonymised_user our showroom/store in Dempsey Hill [?] Also, don't forget to try their amazing and authentic Portugese cuisine and wines! [?]
.
.
.
#portugal #portugesefood #singapore #dempsey #dempseyhill #dempseyhillsg #singapore #sg #tomelro #tomelrobinu #dongkibinu #dongkimilkeu #singaporeinsiders #singaporelife #restaurantsg #sgrestaurant #sgrestaurants #zeroplastic #natural #naturelover #animallover #zerowaste #organic #organicsoap #organicproducts #soaplovers #soap #soapbar #barsoap"
8187,"Eat good & do good with @anonymised_user 
.
Head down to Fireless Kitchen at @anonymised_user and start earning those cashbacks for your yummilicious bowls! 
.
P.S. @anonymised_user offers you an additional $0.50 OFF your meal with us when you bring your own container, so let's all do our part to make this world a cleaner, greener, healthier place for all! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgigfoodies #supportlocalsg #sgunited #savefnbsg #sgfnb #supportfnbsg #gogreen #reuse #BYO #zerowaste #zerowastesg #takeaway #reducereuserecycle #eco #greensingapore #susGain #LiveMoreConsciously #sustainability #sustainablelivingsg #sustainablebusiness #greenhabits #littlegreensteps"
8188,"We are proud partners of @anonymised_user 
.
Doing your part with little green steps  is easier with susGain (PLUS earn cashback for integrating more sustainable habits into your lifestyle)! 
.
P.S. Did you know @anonymised_user offers you $0.50 OFF your meal with us when you bring your own container?
.
It's that simple! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgigfoodies #supportlocalsg #sgunited #savefnbsg #sgfnb #supportfnbsg #gogreen #reuse #BYO #zerowaste #zerowastesg #takeaway #reducereuserecycle #eco #greensingapore #susGain #LiveMoreConsciously #sustainability #sustainablelivingsg #sustainablebusiness #greenhabits #littlegreensteps"
8189," We are proud to be one of the 95 partners that have pledged to #SayYesToWasteLess in the @anonymised_user campaign! 
.
At @anonymised_user we are driving awareness of simple actions that we can take to reduce the consumption of disposables, like partnering with @anonymised_user (a reusable container lending system)!
.
P.S. did you know we offer $0.50 off your meal when you BYO?  Let's all say yes to takeaway, not throwaway! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgfoodtrend #sgigfoodies #supportlocalsg #sgunited #sgfnb #supportfnbsg #zerowastesg #zerowaste #thekinderwaytotakeaway #barepackpartner #barepackfriend #ecotakeaway #sustainableliving #gogreen #barepackmytakeaway #reuse #BYO #reducereuserecycle #eco #greensingapore #LiveMoreConsciously #greenhabits #littlegreensteps"
8196,"[?] It's back to the grind with Phase 2, but let's not forget to take care of our environment 
.
@anonymised_user is proud to be a #barePackpartner, and we're giving you $0.50 OFF your meal when you use a barePack! 
.
Go ahead, download the @anonymised_user app, get your 1-month FREE trial & experience zero waste takeaways! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgigfoodies #supportlocalsg #sgunited #savefnbsg #sgfnb #supportfnbsg #gogreen #barepackmytakeaway #reuse #BYO #zerowaste #zerowastesg #takeaway #vegansg #reducereuserecycle #eco #greensingapore #susGain #GreenIsTheNewBlack #LiveMoreConsciously #sustainability #greenhabits #littlegreensteps"
8200," HAPPENING NOW: The Virtual Conscious Festival 
.
@anonymised_user is proud to be championing zero-waste takeaways with our partners @anonymised_user & @anonymised_user
.
Check out www.barepack.co/the-virtual-conscious-festival & get your next meal packed in a reusable barePack container! Let's all do our part for a greener planet 
.
P.S. barePack is giving a 1-month FREE trial when you download the barePack app today! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgigfoodies #supportlocalsg #sgunited #savefnbsg #sgfnb #supportfnbsg #gogreen #barepackmytakeaway #reuse #barepackpartner #BYO #zerowaste #zerowastesg #takeaway #reducereuserecycle #eco #susGain #GreenIsTheNewBlack #VirtualConsciousFestival #LittleGreenSteps #greensingapore #LiveMoreConsciously #sustainability #greenhabits"
8203," Experience takeaways with zero waste!
.
@anonymised_user is proud to be partnering with @anonymised_user so you can now have great food without compromising the planet! 
.
barePack is a returnable container lending system - a truly practical day-to-day solution that makes takeaway sustainable! 
.
Let's all do our part for a greener planet 
.
Download the barePack app and avail their 1-month FREE trial + get $0.50 OFF at Fireless Kitchen when you use a barePack! 
.
#FirelessKitchen #UncomplicateFood #healthyfood #funansg #sgfoodie #foodiesg #sgigfoodies #supportlocalsg #sgunited #savefnbsg #sgfnb #supportfnbsg #gogreen #barepackmytakeaway #reuse #barepackpartner #BYO #zerowaste #zerowastesg #takeaway #vegansg #reducereuserecycle #takeaway #eco"
